,0
0,https://www.yelp.co.uk/biz/flying-dutchmen-cocktails-amsterdam?osq=Bars
1,https://www.yelp.co.uk/biz/door-74-amsterdam?osq=Bars
2,https://www.yelp.co.uk/biz/njoy-amsterdam-2?osq=Bars
3,https://www.yelp.co.uk/biz/bar-oldenhof-amsterdam?osq=Bars
4,https://www.yelp.co.uk/biz/caf%C3%A9-de-dokter-amsterdam-2?osq=Bars
5,https://www.yelp.co.uk/biz/the-waterhole-amsterdam?osq=Bars
6,https://www.yelp.co.uk/biz/pulitzers-bar-amsterdam-2?osq=Bars
7,https://www.yelp.co.uk/biz/paradiso-amsterdam-amsterdam?osq=Bars
8,https://www.yelp.co.uk/biz/cannibale-royale-amsterdam-2?osq=Bars
9,https://www.yelp.co.uk/biz/proeflokaal-arendsnest-amsterdam-2?osq=Bars
10,https://www.yelp.co.uk/biz/tales-en-spirits-amsterdam?osq=Bars
11,https://www.yelp.co.uk/biz/caf%C3%A9-de-buurvrouw-amsterdam-2?osq=Bars
12,https://www.yelp.co.uk/biz/de-zotte-amsterdam?osq=Bars
13,https://www.yelp.co.uk/biz/bar-bitterbal-amsterdam?osq=Bars
14,https://www.yelp.co.uk/biz/whisky-caf%C3%A9-l-en-b-amsterdam?osq=Bars
15,https://www.yelp.co.uk/biz/rock-club-the-cave-amsterdam?osq=Bars
16,https://www.yelp.co.uk/biz/skylounge-amsterdam-amsterdam?osq=Bars
17,https://www.yelp.co.uk/biz/chupitos-amsterdam?osq=Bars
18,https://www.yelp.co.uk/biz/caf%C3%A9-bar-eddy-amsterdam-2?osq=Bars
19,https://www.yelp.co.uk/biz/freddys-bar-amsterdam?osq=Bars
20,https://www.yelp.co.uk/biz/whisky-caf%C3%A9-l-en-b-amsterdam?osq=Bars
21,https://www.yelp.co.uk/biz/cafe-ruk-en-pluk-amsterdam?osq=Bars
22,https://www.yelp.co.uk/biz/caf%C3%A9-hoppe-amsterdam-2?osq=Bars
23,https://www.yelp.co.uk/biz/vesper-bar-amsterdam?osq=Bars
24,https://www.yelp.co.uk/biz/beer-temple-amsterdam?osq=Bars
25,https://www.yelp.co.uk/biz/chupitos-amsterdam?osq=Bars
26,https://www.yelp.co.uk/biz/kriterion-amsterdam-2?osq=Bars
27,https://www.yelp.co.uk/biz/excalibur-amsterdam?osq=Bars
28,https://www.yelp.co.uk/biz/caf%C3%A9-bar-eddy-amsterdam-2?osq=Bars
29,https://www.yelp.co.uk/biz/supperclub-amsterdam-4?osq=Bars
30,https://www.yelp.co.uk/biz/excalibur-amsterdam?osq=Bars
31,https://www.yelp.co.uk/biz/bar-paul-amsterdam?osq=Bars
32,https://www.yelp.co.uk/biz/feijoa-amsterdam?osq=Bars
33,https://www.yelp.co.uk/biz/caf%C3%A9-brecht-amsterdam-3?osq=Bars
34,https://www.yelp.co.uk/biz/supperclub-amsterdam-4?osq=Bars
35,https://www.yelp.co.uk/biz/cafe-ruk-en-pluk-amsterdam?osq=Bars
36,https://www.yelp.co.uk/biz/vesper-bar-amsterdam?osq=Bars
37,https://www.yelp.co.uk/biz/the-butcher-social-club-amsterdam?osq=Bars
38,https://www.yelp.co.uk/biz/bar-lempicka-amsterdam?osq=Bars
39,https://www.yelp.co.uk/biz/mash-amsterdam?osq=Bars
40,https://www.yelp.co.uk/biz/bocas-amsterdam-2?osq=Bars
41,https://www.yelp.co.uk/biz/de-kroegtijger-amsterdam?osq=Bars
42,https://www.yelp.co.uk/biz/gin-and-tonic-bar-amsterdam?osq=Bars
43,https://www.yelp.co.uk/biz/bar-lempicka-amsterdam?osq=Bars
44,https://www.yelp.co.uk/biz/caf%C3%A9-weber-amsterdam-2?osq=Bars
45,https://www.yelp.co.uk/biz/hps-amsterdam?osq=Bars
46,https://www.yelp.co.uk/biz/br020-amsterdam?osq=Bars
47,https://www.yelp.co.uk/biz/red-light-bar-amsterdam?osq=Bars
48,https://www.yelp.co.uk/biz/pigs-en-punch-amsterdam?osq=Bars
49,https://www.yelp.co.uk/biz/the-jitterbug-saloon-amsterdam?osq=Bars
50,https://www.yelp.co.uk/biz/proeflokaal-de-druif-amsterdam?osq=Bars
51,https://www.yelp.co.uk/biz/lost-in-amsterdam-amsterdam?osq=Bars
52,https://www.yelp.co.uk/biz/brouwerij-troost-de-pijp-amsterdam?osq=Bars
53,https://www.yelp.co.uk/biz/caf%C3%A9-t-smalle-amsterdam-2?osq=Bars
54,https://www.yelp.co.uk/biz/caf%C3%A9-brecht-amsterdam-3?osq=Bars
55,https://www.yelp.co.uk/biz/gapp-amsterdam-2?osq=Bars
56,https://www.yelp.co.uk/biz/rosalias-menagerie-amsterdam?osq=Bars
57,https://www.yelp.co.uk/biz/foeders-amsterdam?osq=Bars
