,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
0,Flying Dutchmen Cocktails,5,4,1017 AW Amsterdam,Centrum,[],10,Cocktail Bars,"['Accepts Debit Cards', 'Street Parking', 'Free Wi-Fi']"
1,Door 74,4.5,98,1017 BN Amsterdam,Centrum,€€€ ,114,Cocktail Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Intimate, Classy', 'Moderate Noise']"
2,NJOY,4.5,44,1017 PX Amsterdam,Centrum,€€€ ,75,Cocktail Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Trendy']"
3,Bar Oldenhof,4.5,43,1016 TZ Amsterdam,"Jordaan, Centrum",€€€ ,38,Jazz & Blues,"['Accepts Debit Cards', 'Outdoor Seating', 'Intimate, Classy']"
4,Café de Dokter,4.5,12,1012 PR Amsterdam,Centrum,€ ,23,Unclaimed,"['Outdoor Seating', 'Full Bar', 'TV']"
5,The Waterhole,4,28,1017 PW Amsterdam,Centrum,€€ ,22,Pubs,"['Accepts Debit Cards', 'Outdoor Seating', 'Touristy, Casual']"
6,Pulitzer's Bar,4.5,30,1016 DZ Amsterdam,[],€€ ,66,Cocktail Bars,"['Accepts Debit Cards', 'Outdoor Seating', 'Classy']"
7,[],4.5,[],[],[],[],[],[],"['Trendy', 'Loud', 'Good for Groups', 'Good For Dancing']"
8,Cannibale Royale,4.5,95,1072 AR Amsterdam,"De Pijp, Zuid",€€ ,168,Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
9,Proeflokaal Arendsnest,[],189,1015 BS Amsterdam,Centrum,€€ ,266,Pubs,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
10,Tales & Spirits,4.5,182,1012 TE Amsterdam,Centrum,€€ ,341,Cocktail Bars,"['Takes Reservations', 'Many Vegetarian Options']"
11,Café de Buurvrouw,4,7,1012 HM Amsterdam,"De Wallen, Centrum",€€ ,10,Pubs,"['Accepts Debit Cards', 'Casual', 'Loud']"
12,De Zotte,4.5,60,1016 XL Amsterdam,"Jordaan, Centrum",€€ ,98,Pubs,"['Accepts Debit Cards', 'Casual', 'Moderate Noise']"
13,Bar Bitterbal,4.5,2,1017 VN Amsterdam,Centrum,[],39,Pubs,"['Takes Reservations', 'Outdoor Seating', 'Free Wi-Fi', 'Full Bar']"
14,Whisky Café L & B,4.5,42,1017 RD Amsterdam,Centrum,€€ ,46,Unclaimed,"['Casual', 'Moderate Noise', 'Good for Groups', 'Full Bar']"
15,Rock club The Cave,4.5,7,1017 KG Amsterdam,Centrum,€€ ,photo,Unclaimed,"['Very Loud', 'Good for Groups', 'Live Music']"
16,SkyLounge Amsterdam,3.5,109,11th floor of DoubleTree by Hilton Amsterdam Centraal Station,Centrum,€€€ ,294,Lounges,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Touristy, Classy, Trendy']"
17,Chupitos,4,13,1017 RT Amsterdam,Centrum,€€ ,10,Unclaimed,"['Accepts Debit Cards', 'Casual', 'Very Loud']"
18,Café Bar Eddy,4.5,6,1072 VV Amsterdam,"De Pijp, Zuid",€ ,5,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'Pool Table', 'Free Wi-Fi']"
19,Freddy's Bar,4.5,14,Nieuwe Doelenstraat 2-14,"De Wallen, Centrum",€€€€ ,25,Unclaimed,"['Accepts Debit Cards', 'Classy', 'Full Bar']"
20,Whisky Café L & B,4.5,42,1017 RD Amsterdam,Centrum,€€ ,46,Unclaimed,"['Casual', 'Moderate Noise', 'Good for Groups', 'Full Bar']"
21,Cafe Ruk en Pluk,4.5,[],1092 CM Amsterdam,"Oosterparkbuurt, Oost",[],[],Unclaimed,"['15 reviews', '€€ ', 'Outdoor Seating', 'Classy', 'Good for Groups']"
22,Café Hoppe,4.5,70,1012 XA Amsterdam,Centrum,€€ ,116,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
23,Vesper Bar,4.5,52,1013 JM Amsterdam,"Haarlemmerbuurt, Centrum",€€€ ,51,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Classy, Trendy', 'Moderate Noise']"
24,Beer Temple,4.5,80,1012 RR Amsterdam,Centrum,€€ ,133,Pubs,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
25,Chupitos,4,13,1017 RT Amsterdam,Centrum,€€ ,10,Unclaimed,"['Accepts Debit Cards', 'Casual', 'Very Loud']"
26,Kriterion,4,25,1018 WE Amsterdam,"Plantagebuurt, Centrum",€ ,11,Cinemas,"['Accepts Debit Cards', 'Outdoor Seating', 'Quiet']"
27,Excalibur,4,15,1012 DP Amsterdam,"De Wallen, Centrum",€ ,16,Unclaimed,['Many Vegetarian Options']
28,Café Bar Eddy,4.5,6,1072 VV Amsterdam,"De Pijp, Zuid",€ ,5,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'Pool Table', 'Free Wi-Fi']"
29,Supperclub,3,12,1017 AW Amsterdam,Centrum,€€€ ,50,Clubs,"['Takes Reservations', 'Accepts Debit Cards', 'Classy', 'Good for Groups']"
30,Excalibur,4,15,1012 DP Amsterdam,"De Wallen, Centrum",€ ,16,Unclaimed,['Many Vegetarian Options']
31,Bar Paul,4.5,3,1017 BK Amsterdam,Centrum,€€ ,6,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Good for Groups', 'Full Bar']"
32,Feijoa,4.5,17,1017 HE Amsterdam,Centrum,€€ ,23,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Classy, Casual']"
