,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
0,Hilton Amsterdam,3.5,57,1077 BG Amsterdam,"Apollobuurt, Zuid",€€€ ,115,Hotels,"['Accepts Debit Cards', 'Paid Wi-Fi']"
1,Van Der Valk,3.5,4,1511 Amsterdam,Centrum,Unclaimed ,12,Unclaimed,[]
2,Twenty Eight,3.5,10,1076 CK Amsterdam,"Stadionbuurt, Zuid",€€ ,54,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
3,Hotel De Hallen,3.5,30,1053 AT Amsterdam,"Kinkerbuurt, Oud West, West",€€ ,86,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
4,Seven Bridges Hotel,3.5,4,1017 LK Amsterdam,Centrum,Unclaimed ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
5,Conscious Hotel Vondelpark,3.5,25,1054 LH Amsterdam,"Zuid, West",€€ ,41,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
6,The Manor Amsterdam,3.5,18,1093 EK Amsterdam,"Dapperbuurt, Oost",€€ ,32,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
7,Park Centraal Amsterdam,3.5,23,1071 ZD Amsterdam,"Museumkwartier, Zuid",€€€ ,152,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
8,King Hotel,3.5,4,1017 PN Amsterdam,West,€ ,photo,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
9,The Dylan,3.5,33,1016 GB Amsterdam,"Negen Straatjes, Centrum",€€€€ ,35,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
10,Max Brown Hotel Canal District,3.5,7,1015 BA Amsterdam,Centrum,€€ ,10,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
11,Rembrandtplein Hotel,3.5,1,1011 HR Amsterdam,Centrum,€€ ,5,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
12,Artemis Amsterdam,3.5,16,1066 EP Amsterdam,Slotervaart,€€ ,26,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
13,Notting Hill Hotel,3.5,18,1017 ZP Amsterdam,Centrum,€€€€ ,31,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards']"
14,Swissôtel Amsterdam,3.5,23,1012 LP Amsterdam,Centrum,€€ ,34,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
15,Max Brown Hotel Museum Square,3.5,13,1071 CR Amsterdam,"Museumkwartier, Zuid",€€ ,45,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
16,Sir Albert Hotel,3.5,22,1072 CT Amsterdam,"De Pijp, Zuid",€€€ ,46,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
17,Element Amsterdam,3.5,22,1082 LD Amsterdam,"Buitenveldert, Zuid",€€ ,62,Unclaimed,['Free Wi-Fi']
18,Ambassade Hotel,3.5,15,1016 AZ Amsterdam,Centrum,€€€ ,26,Hotels,['Free Wi-Fi']
19,Hard Rock Hotel Amsterdam American,3.5,Hotels,1017 PN Amsterdam,Centrum,[],21,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
20,Hotel nhow Amsterdam RAI,3.5,2,1078 RV Amsterdam,Zuid,[],12,Hotels,[]
21,'t Hotel,3.5,8,1015 DE Amsterdam,Centrum,€€ ,15,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
22,MEININGER Hotel Amsterdam City West,3.5,14,1043 DR Amsterdam,Westpoort,€€ ,78,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
23,Hotel Verdi,3.5,Hotels,1071 LA Amsterdam,"Museumkwartier, Zuid",Unclaimed ,photo,Unclaimed,[]
24,De L'Europe,3.5,25,1012 CP Amsterdam,"De Wallen, Centrum",€€€ ,86,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
25,Amstel River View,3.5,1,1074 HS Amsterdam,"De Pijp, Zuid",Unclaimed ,6,Unclaimed,[]
26,QO Amsterdam,3.5,3,1096 GG Amsterdam,Oost,Unclaimed ,4,Unclaimed,[]
27,WestCord Art Hotel Amsterdam,3.5,14,1013 ZX Amsterdam,"West, Westpoort",€€ ,44,Hotels,['Free Wi-Fi']
28,Sir Adam Hotel,3.5,15,1031 KS Amsterdam,Noord,€€ ,40,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
29,Residence Inn by Marriott Amsterdam Houthavens,3.5,Hotels,1013 AP Amsterdam,Houthavens,[],19,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi', 'Dogs Allowed']"
30,W Amsterdam,3.5,48,1012 VN Amsterdam,Centrum,€€€ ,128,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi', 'Dogs Allowed']"
31,Courtyard by Marriott,3.5,10,1101 BA Amsterdam,Zuid Oost,€€ ,13,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
32,Canal Boutique Apartments and Hotel,3.5,2,1016 EX Amsterdam,"Negen Straatjes, Centrum",Unclaimed ,photo,Unclaimed,[]
33,Ostade Bicycle Hotel,3.5,6,1072 SV Amsterdam,"De Pijp, Zuid",€ ,4,Unclaimed,['Accepts Debit Cards']
34,Mercure Amsterdam aan De Amstel Hotel,3.5,11,1096 CJ Amsterdam,Oost,€€ ,17,Unclaimed,['Free Wi-Fi']
35,Hotel Arena,3.5,28,1092 AA Amsterdam,"Oosterparkbuurt, Oost",€€ ,51,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
36,Moxy Amsterdam Houthavens,3.5,11,1013 AP Amsterdam,Houthavens,€€€ ,96,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi', 'Dogs Allowed', 'Wheelchair Accessible']"
37,The Mayer Manor,3.5,1,1012 KE Amsterdam,"De Wallen, Centrum",€€€€ ,8,Unclaimed,[]
38,MEININGER Hotel Amsterdam Amstel,3.5,6,1097 DN Amsterdam,"Watergraafsmeer, Oost",[],25,Hotels,['Free Wi-Fi']
39,Ibis Amsterdam Centre Hotel,3.5,32,1012 AB Amsterdam,Centrum,€€ ,34,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
40,Amistad Hotel,3.5,4,1017 GM Amsterdam,Centrum,Unclaimed ,4,Unclaimed,[]
41,Hotel-Restaurant Larende,3.5,6,1053 AJ Amsterdam,"Kinkerbuurt, Oud West, West",€€ ,7,Hotels,"['Takes Reservations', 'Accepts Debit Cards', 'Street Parking']"
42,Hotel Mosaic,3.5,2,1054 BR Amsterdam,"Helmersbuurt, Oud West, West",€€ ,photo,Unclaimed,['Free Wi-Fi']
43,Westcord Fashion Hotel,3.5,17,1058 GC Amsterdam,See all photos from Emmy R. for Westcord Fashion Hotel,€€€ ,88,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
44,Canal House,3.5,15,1015 CX Amsterdam,Centrum,€€€ ,16,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
45,Hotel ibis Amsterdam City West,3.5,13,1014 AK Amsterdam,Westpoort,€€ ,12,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
46,Hotel Mercier,3.5,2,1016 NX Amsterdam,"Jordaan, Centrum",Unclaimed ,7,Unclaimed,[]
47,Conscious Hotel Museum Square,[],6,1071 NR Amsterdam,"Museumkwartier, Zuid",€€ ,4,Unclaimed,['Free Wi-Fi']
48,Inntel Hotels Amsterdam Centre,3.5,29,1012 PV Amsterdam,Centrum,€€ ,42,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
49,Hans Brinker Hotel,3.5,11,1017 GR Amsterdam,Centrum,[],8,Hostels,['Free Wi-Fi']
50,XO Hotels Couture,4,15,1062 EA Amsterdam,See all photos from Hannes M. for XO Hotels Couture,€€ ,79,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
51,Hotel The Neighbour's Magnolia,3.5,2,1071 HB Amsterdam,"Museumkwartier, Zuid",€€ ,4,Hotels,['Free Wi-Fi']
52,The Student Hotel Amsterdam City,5,21,1061 AZ Amsterdam,"Oosterparkbuurt, Oost",€€ ,52,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi', 'Dogs Allowed']"
53,Luxury Suites Amsterdam,4,7,1011 KW Amsterdam,Centrum,€€€ ,21,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
54,The College Hotel,5,21,1071 VE Amsterdam,"Museumkwartier, Zuid",€€€ ,31,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
55,Quentin Zoo Hotel,4,1,1018 DB Amsterdam,"Plantagebuurt, Centrum",Unclaimed ,photo,Unclaimed,[]
56,DoubleTree by Hilton Hotel Amsterdam - NDSM Wharf,4,15,1033 WB Amsterdam,Noord,€€ ,75,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
57,Hotel Casa Amsterdam,3,29,1097 BC Amsterdam,"Watergraafsmeer, Oost",€€ ,60,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
58,Maes Bed and Breakast,4.5,4,1015 CB Amsterdam,Centrum,Unclaimed ,7,Unclaimed,['Free Wi-Fi']
59,Hotel Max in Mokum,4.5,3,1074 BK Amsterdam,"De Pijp, Zuid",Unclaimed ,photo,Unclaimed,[]
60,Park Inn by Radisson Amsterdam City West,3.5,3,1043 DE Amsterdam,Westpoort,Unclaimed ,10,Unclaimed,[]
61,XO Hotels Blue Tower,5,7,1055 JE Amsterdam,"Bos en Lommer, West",€€ ,20,Unclaimed,['Free Wi-Fi']
62,Mauro Mansion,3.5,9,1012 BH Amsterdam,"Centrum, De Wallen",€€ ,14,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
63,Bilderberg Hotel Jan Luijken,4.5,12,1071 CS Amsterdam,"Museumkwartier, Zuid",€€ ,10,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
64,Hotel2Stay,4,4,1043 EC Amsterdam,See all photos from Chris W. for Hotel2Stay,Unclaimed ,23,Unclaimed,['Free Wi-Fi']
65,Hampton by Hilton Amsterdam Centre East,4,10,1019 AZ Amsterdam,"Zeeburg, Oost",€€ ,33,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
66,Crowne Plaza Amsterdam South,4,6,1082 MT Amsterdam,"WTC, Zuid, Buitenveldert",€€€ ,26,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
67,Hotel V Fizeaustraat,4,11,1097 SC Amsterdam,"Watergraafsmeer, Oost",€€€ ,58,Hotels,['Free Wi-Fi']
68,Hotel NH Amsterdam Centre,4.5,31,1054 ES Amsterdam,West,€€ ,71,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
69,Hotel Sint Nicolaas,[],8,1012 SP Amsterdam,Centrum,€€ ,16,Unclaimed,['Free Wi-Fi']
70,Backstage Hotel,4.5,9,1016 CT Amsterdam,"Jordaan, Centrum",€ ,14,Unclaimed,"['Accepts Debit Cards', 'Free Wi-Fi']"
71,Mr Jordaan Hotel,4.5,1,1015 TN Amsterdam,"Jordaan, Centrum",Unclaimed ,7,Unclaimed,[]
72,[],3.5,[],[],[],[],[],[],[]
73,The Edison Hotel,[],1,1016 TZ Amsterdam,"Jordaan, Centrum",Unclaimed ,photo,Unclaimed,[]
74,Hotel NH Collection Amsterdam Flower Market,4.5,18,1017 HK Amsterdam,Centrum,€€€ ,23,Hotels,"['Accepts Debit Cards', 'Free Wi-Fi']"
