,0
0,https://www.yelp.co.uk/biz/artotel-amsterdam-amsterdam-2?osq=Hotels
1,https://www.yelp.co.uk/biz/the-pavilions-amsterdam-the-toren-amsterdam?osq=Hotels
2,https://www.yelp.co.uk/biz/pulitzer-amsterdam-amsterdam?osq=Hotels
3,https://www.yelp.co.uk/biz/zoku-amsterdam-amsterdam?osq=Hotels
4,https://www.yelp.co.uk/biz/citizenm-amsterdam-south-hotel-amsterdam?osq=Hotels
5,https://www.yelp.co.uk/biz/corendon-city-hotel-amsterdam-amsterdam?osq=Hotels
6,https://www.yelp.co.uk/biz/the-hoxton-amsterdam?osq=Hotels
7,https://www.yelp.co.uk/biz/kimpton-de-witt-amsterdam?osq=Hotels
8,https://www.yelp.co.uk/biz/amsterdam-marriott-hotel-amsterdam-2?osq=Hotels
9,https://www.yelp.co.uk/biz/hotel-okura-amsterdam-amsterdam?osq=Hotels
10,https://www.yelp.co.uk/biz/doubletree-by-hilton-amsterdam-centraal-station-amsterdam?osq=Hotels
11,https://www.yelp.co.uk/biz/lloyd-hotel-amsterdam-3?osq=Hotels
12,https://www.yelp.co.uk/biz/waldorf-astoria-amsterdam-amsterdam-3?osq=Hotels
13,https://www.yelp.co.uk/biz/hotel-estherea-amsterdam-3?osq=Hotels
14,https://www.yelp.co.uk/biz/andaz-amsterdam-prinsengracht-a-concept-by-hyatt-amsterdam?osq=Hotels
15,https://www.yelp.co.uk/biz/fita-hotel-amsterdam?osq=Hotels
16,https://www.yelp.co.uk/biz/mercure-amsterdam-centre-canal-district-amsterdam?osq=Hotels
17,https://www.yelp.co.uk/biz/hotel-jakarta-amsterdam?osq=Hotels
18,https://www.yelp.co.uk/biz/hotel-clemens-amsterdam?osq=Hotels
19,https://www.yelp.co.uk/biz/mercure-amsterdam-sloterdijk-station-amsterdam?osq=Hotels
20,https://www.yelp.co.uk/biz/renaissance-amsterdam-hotel-amsterdam-2?osq=Hotels
21,https://www.yelp.co.uk/biz/hotel-not-hotel-amsterdam?osq=Hotels
22,https://www.yelp.co.uk/biz/dutch-design-hotel-artemis-amsterdam?osq=Hotels
23,https://www.yelp.co.uk/biz/volkshotel-amsterdam?osq=Hotels
24,https://www.yelp.co.uk/biz/the-albus-amsterdam?osq=Hotels
25,https://www.yelp.co.uk/biz/hotel-sebastians-amsterdam?osq=Hotels
26,https://www.yelp.co.uk/biz/intercontinental-amstel-amsterdam-amsterdam-2?osq=Hotels
27,https://www.yelp.co.uk/biz/m%C3%B6venpick-amsterdam-4?osq=Hotels
28,https://www.yelp.co.uk/biz/the-bulldog-hotel-amsterdam?osq=Hotels
29,https://www.yelp.co.uk/biz/skotel-amsterdam-amsterdam-3?osq=Hotels
30,https://www.yelp.co.uk/biz/holiday-inn-express-sloterdijk-amsterdam?osq=Hotels
31,https://www.yelp.co.uk/biz/boutique-hotel-view-amsterdam-2?osq=Hotels
32,https://www.yelp.co.uk/biz/amsterdam-wiechmann-hotel-amsterdam?osq=Hotels
33,https://www.yelp.co.uk/biz/the-ed-hotel-amsterdam-amsterdam?osq=Hotels
34,https://www.yelp.co.uk/biz/easyhotel-amsterdam-amsterdam?osq=Hotels
35,https://www.yelp.co.uk/biz/grand-hotel-amrath-amsterdam-amsterdam?osq=Hotels
36,https://www.yelp.co.uk/biz/sofitel-legend-the-grand-amsterdam-amsterdam?osq=Hotels
37,https://www.yelp.co.uk/biz/hotel-v-nesplein-amsterdam-4?osq=Hotels
38,https://www.yelp.co.uk/biz/qbic-hotel-amsterdam?osq=Hotels
39,https://www.yelp.co.uk/biz/grand-hotel-krasnapolsky-amsterdam?osq=Hotels
40,https://www.yelp.co.uk/biz/room-mate-aitana-amsterdam-2?osq=Hotels
41,https://www.yelp.co.uk/biz/apollo-hotel-amsterdam-a-tribute-portfolio-hotel-amsterdam?osq=Hotels
42,https://www.yelp.co.uk/biz/hotel-nh-amsterdam-noord-amsterdam?osq=Hotels
43,https://www.yelp.co.uk/biz/holiday-inn-amsterdam-amsterdam?osq=Hotels
44,https://www.yelp.co.uk/biz/conservatorium-hotel-amsterdam?osq=Hotels
45,https://www.yelp.co.uk/biz/urban-lodge-hotel-amsterdam?osq=Hotels
46,https://www.yelp.co.uk/biz/misc-eatdrinksleep-amsterdam?osq=Hotels
47,https://www.yelp.co.uk/biz/hyatt-regency-amsterdam-amsterdam?osq=Hotels
48,https://www.yelp.co.uk/biz/the-greenhouse-effect-amsterdam?osq=Hotels
49,https://www.yelp.co.uk/biz/banks-mansion-amsterdam?osq=Hotels
50,https://www.yelp.co.uk/biz/hilton-amsterdam-amsterdam?osq=Hotels
51,https://www.yelp.co.uk/biz/van-der-valk-amsterdam-2?osq=Hotels
52,https://www.yelp.co.uk/biz/twenty-eight-amsterdam?osq=Hotels
53,https://www.yelp.co.uk/biz/hotel-de-hallen-amsterdam?osq=Hotels
54,https://www.yelp.co.uk/biz/seven-bridges-hotel-amsterdam?osq=Hotels
55,https://www.yelp.co.uk/biz/conscious-hotel-vondelpark-amsterdam?osq=Hotels
56,https://www.yelp.co.uk/biz/the-manor-amsterdam-amsterdam?osq=Hotels
57,https://www.yelp.co.uk/biz/park-centraal-amsterdam-amsterdam-2?osq=Hotels
58,https://www.yelp.co.uk/biz/king-hotel-amsterdam?osq=Hotels
59,https://www.yelp.co.uk/biz/the-dylan-amsterdam?osq=Hotels
60,https://www.yelp.co.uk/biz/max-brown-hotel-canal-district-amsterdam-6?osq=Hotels
